Regulator,Target,Sign in BBM,Model,Sign,Classification,Confidence rank,Constraint,Notes
HER2,IGF1R_2,positive,Z21,positive,assumption,4,,This assumed edge is consistent with observed higher IGF1R signaling in trastuzumab-resistant cells
IGF1R,IGF1R_2,positive,Z21,,,,,
IGF1R_T_2,IGF1R_2,positive,Z21,,,,,
S6K,IGF1R_2,negative,Z21,,,,,
IGF1R_T,IGF1R_T,positive,Z21,,,,,
IGF1R_T_2,IGF1R_T,positive,Z21,,,,,
IGF1R_T,IGF1R_T_2,positive,Z21,,,,,
IGF1R_T_2,IGF1R_T_2,positive,Z21,,,,,
AKT,KMT2D,negative,Z21,negative ,direct,1,regulates,AKT phosphorylates KMT2D at Ser1331; this reduces KMT2D chromatin recruitment/function and consequently suppresses KMT2D-dependent ER transcriptional activity.
MAPK_2,MAPK,positive,Z21,,,,,
PIP3,MAPK,positive,Z21,,,,,
PIP3_2,MAPK,positive,Z21,,,,,
RAS,MAPK,positive,Z21,,,,,
RAS_2,MAPK,positive,Z21,,,,,
RAS_3,MAPK,positive,Z21,,,,,
Trametinib,MAPK,negative,Z21,,,,,
MAPK,MAPK_2,positive,Z21,,,,,
PIP3,MAPK_2,positive,Z21,,,,,
PIP3_2,MAPK_2,positive,Z21,,,,,
RAS_2,MAPK_2,positive,Z21,,,,,
RAS_3,MAPK_2,positive,Z21,,,,,
Trametinib,MAPK_2,negative,Z21,,,,,
MCL1_T,MCL1,positive,Z21,positive ,direct,1,regulates,protein translation
S63845,MCL1,negative,Z21,,,,,
ER_transcription,MYC,positive,Z21,,,,,
MYC_2,MYC,positive,Z21,positive,unsupported,,,This edge is an artifact of the Boolean representation of multi-level nodes.
ER_transcription_2,MYC_2,positive,Z21,,,,,
MYC,MYC_2,positive,Z21,positive,,0,,Reaching a higher level necessitates reaching the lower level first.
MYC_T,MYC_2,positive,Z21,positive,direct,1,regulates,translation of the MYC protein. 
MYC,MYC_targets,positive,Z21,positive ,direct ,1,regulates,MYC_targets represents genes regulated both transcriptionally by MYC and translationally by the mTORC1 pathway. 
MYC_2,MYC_targets,positive,Z21,positive,direct,1,regulates,MYC_targets represents genes regulated both transcriptionally by MYC and translationally by the mTORC1 pathway. We assign the same confidence ranking as that of the MYC->MYC_targets edge.
MYC_targets_2,MYC_targets,positive,Z21,positive,unsupported,,,This edge is an artifact of the Boolean representation of multi-level nodes.
Translation,MYC_targets,positive,Z21,positive,assumption,4,,MYC_targets represents genes regulated both transcriptionally by MYC and translationally by the mTORC1 pathway. This assumption is consistent with findings of convergent effects of these two pathways.
MYC,MYC_targets_2,positive,Z21,positive,direct,1,regulates,MYC_targets represents genes regulated both transcriptionally by MYC and translationally by the mTORC1 pathway. We assign the same confidence ranking as that of the MYC->MYC_targets edge.
MYC_2,MYC_targets_2,positive,Z21,positive,direct,1,regulates,MYC_targets represents genes regulated both transcriptionally by MYC and translationally by the mTORC1 pathway. We assign the same confidence ranking as that of the MYC->MYC_targets edge.
MYC_targets,MYC_targets_2,positive,Z21,positive ,,0,,Reaching a higher level necessitates reaching the lower level first.
Translation,MYC_targets_2,positive,Z21,positive,assumption,4,,MYC_targets represents genes regulated both transcriptionally by MYC and translationally by the mTORC1 pathway. This assumption is consistent with findings of convergent effects of these two pathways.
PIP3,PDK1_pm,positive,Z21,,,,,
PIP3_2,PDK1_pm,positive,Z21,,,,,
Alpelisib,PI3K,negative,Z21,,,,,
HER2HER3c,PI3K,positive,Z21,positive,,,,Phosphorylated HER3 within the HER2–HER3 complex directly recruits PI3K by binding to its p85 subunit.
HER2HER3c_2,PI3K,positive,Z21,positive,direct,1,regulates,Phosphorylated HER3 within the HER2–HER3 complex directly recruits PI3K by binding to its p85 subunit. We consider that the confidence ranking of the edge with the lower-level variable applies.
IGF1R,PI3K,positive,Z21,,,,,
IGF1R_2,PI3K,positive,Z21,,,,,
PI3K_2,PI3K,positive,Z21,positive ,unsupported,,,This edge is an artifact of the Boolean representation of multi-level nodes.
RAS,PI3K,positive,Z21,,,,,
RAS_2,PI3K,positive,Z21,,,,,
RAS_3,PI3K,positive,Z21,,,,,
Alpelisib,PI3K_2,negative,Z21,,,,,
HER2HER3c_2,PI3K_2,positive,Z21,positive,direct,1,regulates,Phosphorylated HER3 within the HER2–HER3 complex directly recruits PI3K by binding to its p85 subunit. We consider that the confidence ranking of the edge with the lower-level variable applies.
PI3K,PI3K_2,positive,Z21,positive,,0,necessary,Reaching a higher level necessitates reaching the lower level first.
PI3K,PIP3,positive,Z21,positive,direct,1,regulates,PI3K catalyzes the reaction that produces PIP3.
PI3K_2,PIP3,positive,Z21,positive,direct,1,regulates,PI3K catalyzes the reaction that produces PIP3.
PIP3_2,PIP3,positive,Z21,,,,,
PTEN,PIP3,negative,Z21,negative,direct,1,,PTEN dephosphorylates PIP3
PTEN_2,PIP3,negative,Z21,negative,direct,1,,PTEN dephosphorylates PIP3. We consider that the confidence ranking is the same as that of the PTEN-| PIP3 edge.
PI3K_2,PIP3_2,positive,Z21,positive,direct,1,regulates,PI3K catalyzes the reaction that produces PIP3.
PIP3,PIP3_2,positive,Z21,,,,,
PTEN_2,PIP3_2,negative,Z21,negative,direct,1,,PTEN dephosphorylates PIP3. We consider that the confidence ranking is the same as that of the PTEN-| PIP3 edge.
AKT,PRAS40,negative,Z21,,,,,
PIM,PRAS40,negative,Z21,,,,,
PTEN_2,PTEN,positive,Z21,,,,,
PTEN_T,PTEN,positive,Z21,,,,,This edge represents translation of the PTEN protein from the PTEN_T transcript
PTEN,PTEN_2,positive,Z21,,,,,
PTEN_T_2,PTEN_2,positive,Z21,,,,,
PTEN_T,PTEN_T,positive,Z21,,,,,
PTEN_T_2,PTEN_T,positive,Z21,,,,,
PTEN_T,PTEN_T_2,positive,Z21,,,,,
PTEN_T_2,PTEN_T_2,positive,Z21,,,,,
E2F,Proliferation,positive,Z21,,,,,
MYC_targets,Proliferation,positive,Z21,positive,assumption,4,,This assumption is consistent with the observation that MYC overexpression can cause resistance to PI3K inhibitors.
E2F_2,Proliferation_2,positive,Z21,,,,,
E2F,Proliferation_3,positive,Z21,,,,,
E2F_2,Proliferation_3,positive,Z21,,,,,
MYC_targets_2,Proliferation_3,positive,Z21,positive,assumption,4,,This assumption is consistent with the observation that MYC overexpression can cause resistance to PI3K inhibitors.
HER2HER3c,RAS,positive,Z21,positive,,,,
HER2HER3c_2,RAS,positive,Z21,,,,,
IGF1R,RAS,positive,Z21,,,,,
IGF1R_2,RAS,positive,Z21,,,,,
RAS_2,RAS,positive,Z21,,,,,
RAS_3,RAS,positive,Z21,,,,,
HER2HER3c,RAS_2,positive,Z21,positive,,,,
HER2HER3c_2,RAS_2,positive,Z21,,,,,
RAS,RAS_2,positive,Z21,,,,,
RAS_3,RAS_2,positive,Z21,,,,,
HER2HER3c_2,RAS_3,positive,Z21,,,,,
RAS,RAS_3,positive,Z21,,,,,
RAS_2,RAS_3,positive,Z21,,,,,
mTORC1,S6K,positive,Z21,positive ,direct,1,regulates,mTORC1 phosphorylates S6K
PDK1,SGK1,positive,Z21,,,,,
SGK1_T,SGK1,positive,Z21,,,,,
mTORC2,SGK1,positive,Z21,positive,direct,1,regulates,"mTORC2 directly phosphorylates the SGK1 hydrophobic-motif site Ser422, enabling subsequent activation by PDK1."
AKT,TSC2,negative,Z21,negative ,direct,1,,"AKT phosphorylates TSC2 (tuberin) at multiple sites, inhibiting the TSC1–TSC2 complex's GAP activity."
MAPK_2,TSC2,negative,Z21,,,,,
SGK1,TSC2,negative,Z21,,,,,
EIF4,Translation,positive,Z21,positive,direct in the network sense,,,eIF4F is part of the molecular machinery that executes cap-dependent translation initiation.
S6K,Translation,positive,Z21,positive,indirect,2,,causal effect mediated by EIF4
CDK46,CYCLINDc,positive,Z21,positive,,0,necessary,CDK4 or CDK6 (denoted CDK46) make up one component of the cyclin-CDK complex CYCLINDc.
CYCLINDc_2,CYCLINDc,positive,Z21,positive,unsupported,,,This edge is an artifact of the Boolean representation of a multi-level variable.
CyclinD,CYCLINDc,positive,Z21,positive,,0,necessary,Cyclin D1 is one of two components of the cyclin-CDK complex CYCLINDc
CyclinD_2,CYCLINDc,positive,Z21,positive,,0,necessary,Cyclin D1 is one of two components of the cyclin-CDK complex CYCLINDc. We assign the same rank as that of the CyclinD1->CYCLIND_c edge.
CDK46,CYCLINDc_2,positive,Z21,positive,,0,necessary,CDK4 or CDK6 (denoted CDK46) make up one component of the cyclin-CDK complex CYCLINDc. We consider that the same confidence ranking applies as that of the CDK46->CYCLINDc edge.
CYCLINDc,CYCLINDc_2,positive,Z21,positive,,0,necessary,Reaching a higher level necessitates achieving the lower level first.
CyclinD_2,CYCLINDc_2,positive,Z21,positive,,0,necessary,Cyclin D1 is one of two components of the cyclin-CDK complex CYCLINDc. We assign the same rank as that of the CyclinD1->CYCLIND_c edge.
cycE_CDK2T,cycE_CDK2,positive,Z21,,,,,
p21_p27,cycE_CDK2,negative,Z21,negative,direct,1,regulates,"Both p21 and p27,  members of the CIP/KIP family, bind  Cyclin E–CDK2 complexes. This prevents phosphorylation of substrates required for S-phase entry and progression."
E2F,cycE_CDK2T,positive,Z21,,,,,
E2F_2,cycE_CDK2T,positive,Z21,,,,,
MYC,CyclinD,positive,Z21,positive,unsupported,,,"Contrary to this assumption, there is evidence that MYC can bind to  the Cyclin D1 promoter and repress CCND1 transcription."
CyclinD_2,CyclinD,positive,Z21,positive,unsupported,,,This edge is an artifact of the Boolean representation of a multi-level variable.
MYC_2,CyclinD_2,positive,Z21,positive ,unsupported,,,"Contrary to this assumption, there is evidence that MYC can bind to  the Cyclin D1 promoter and repress CCND1 transcription."
CyclinD,CyclinD_2,positive,Z21,positive,,0,necessary,Reaching a higher level necessitates achieving the lower level first.
Everolimus,mTORC1,negative,Z21,negative ,direct in the network sense,1,regulates,"Everolimus binds the intracellular protein FKBP12; the everolimus–FKBP12 complex then binds the FRB domain of mTOR within mTORC1, inhibiting mTORC1 signaling. FKBP12 is not in the network."
PRAS40,mTORC1,negative,Z21,,,,,
TSC2,mTORC1,negative,Z21,negative ,indirect,2,,causal effect mediated by RHEB
Everolimus,mTORC2,negative,Z21,negative,indirect,2,,Prolonged exposure to rapalogs can inhibit mTORC2 in some cell types because drug-bound mTOR becomes unavailable for assembly of new mTORC2 complexes.
mTORC2,mTORC2,positive,Z21,,,,,
Everolimus,mTORC2_pm,negative,Z21,negative,indirect,2,,"Prolonged exposure to rapalogs can deplete mTORC2, and thus also mTORC2_pm,  because drug-bound mTOR becomes unavailable for assembly of new mTORC2 complexes."
PIP3,mTORC2_pm,positive,Z21,,,,,
PIP3_2,mTORC2_pm,positive,Z21,,,,,
p21_T,p21_T,positive,Z21,positive ,assumption,4,,The Z21 model assumes a constitutive basal transcription status in the context of ER+ PIK3CA mutant breast cancer.
p21_T_2,p21_T,positive,Z21,positive ,unsupported,,,This edge is an artifact of the Boolean representation of multi-level nodes.
p21_T,p21_T_2,positive,Z21,positive ,,0,,Reaching a higher level necessitates reaching the lower level first.
p21_T_2,p21_T_2,positive,Z21,positive ,assumption,4,,The Z21 model assumes that the transcription status of p21 is constant in ER+ PIK3CA mutant breast cancer. The specific assumption is that p21_T_2=1 in MCF7 and p21_T_2=0 in T47D.
AKT,p21_p27,negative,Z21,negative,direct,1,regulates,The p21_p27 node unites p21 and p27. AKT phosphorylates and inhibits both p21 and p27. This inhibition can be interpreted as a direct inhibition of the p21_p27 node.
PIM,p21_p27,negative,Z21,negative ,,,,
p21_p27_T,p21_p27,positive,Z21,positive,direct,1,regulates,"The p21_p27 node unites the p21 and p27 proteins. The p21_p27_T node unites the transcripts of p21 and p27. Thus, this edge represents translation."
FOXO3,p21_p27_T,positive,Z21,positive,direct,1,regulates,"FOXO3 binds both the CDKN1A (p21) and CDKN1B (p27) promoter, and activates the transcription of both. "
MYC,p21_p27_T,negative,Z21,negative,assumption,4,,The p21_p27_T node refers to the transcripts of p21 and p27. This assumption is consistent with the fact that MYC represses the transcription of CDKN1A (p21).
MYC_2,p21_p27_T,negative,Z21,positive,assumption,4,,The p21_p27_T node refers to the transcripts of p21 and p27. This assumption is consistent with the fact that MYC represses the transcription of CDKN1A (p21).
p21_T,p21_p27_T,positive,Z21,positive ,,0,,"The p21_p27_T node unites the transcripts of p21 and p27. Thus, this edge represents inclusion."
p21_T_2,p21_p27_T,positive,Z21,positive ,,0,,The p21_p27_T node unites the transcripts of p21 and p27. We consider that the confidence ranking is the same as that of the p21_T->p21-p27_T edge.
p27_T,p21_p27_T,positive,Z21,positive ,,0,,"The p21_p27_T node unites the transcripts of p21 and p27. Thus, this edge represents inclusion."
Rb_T,pRB,negative,Z21,,,,,
CYCLINDc,pRB,positive,Z21,,,,,
CYCLINDc_2,pRB,positive,Z21,,,,,
pRB_2,pRB,positive,Z21,,,,,
Rb_T,pRB_2,negative,Z21,,,,,
CYCLINDc,pRB_2,positive,Z21,,,,,
CYCLINDc_2,pRB_2,positive,Z21,,,,,
cycE_CDK2,pRB_2,positive,Z21,,,,,
pRB,pRB_2,positive,Z21,,,,,
GRB2,ABL1,positive,TGEN,positive,,,,
SRC,ABL1,positive,TGEN,positive,,,,
ABL1,ABL2,positive,TGEN,positive,,,,
IGF1,AKT,positive,TGEN,positive,indirect,2,,"causal effect mediated by IGFR, IRS1, PI3K, others"
IGF1R,AKT,positive,TGEN,positive,indirect,2,,"causal effect mediated by IRS1, PI3K, others"
IRS1,AKT,positive,TGEN,positive,indirect,2,,"causal effect mediated by PI3K, others"
mTORC2,AKT,positive,TGEN,positive,indirect,2,,"mTORC2 is recruited to the cell membrane, then it phosphorylates AKT"
NRG1,AKT,positive,TGEN,positive,indirect,2,,"causal effect mediated by PI3K, others"
PDK1_pm,AKT,positive,TGEN,positive,direct,1,regulates,plasma-membrane-bound PDK1 directly phosphorylates AKT at Thr308 in its activation loop
PIP3,AKT,positive,TGEN,positive,direct,1,,"PIP3 directly binds the PH domain of AKT, recruiting AKT to the plasma membrane and inducing conformational changes that expose its activating phosphorylation sites"
AXIN1,APC,positive,TGEN,,,,,
DVL1,AXIN1,negative,TGEN,negative,,,,
GSK3B,AXIN1,positive,TGEN,positive,,,,
AKT,BAD,negative,TGEN,negative,direct,1,regulates,"AKT phosphorylates BAD, which leads to its sequestration by 14-3-3 proteins, making it unable to inhibit BCLXL"
ERK,BAD,negative,TGEN,negative,direct,1,regulates,"ERK1/2 phosphorylate BAD, which leads to its sequestration by 14-3-3 proteins, making it unable to inhibit BCLXL, BCL2"
PAK1,BAD,negative,TGEN,negative,direct,1,regulates,"PAK1 phosphorylates BAD, which leads to its sequestration by 14-3-3 proteins, making it unable to inhibit BCLXL, BCL2"
PIM,BAD,negative,TGEN,negative,direct,1,,"PIM kinases phosphorylate BAD. This promotes BAD's sequestration by 14-3-3 proteins, suppressing BAD's pro-apoptotic function."
BID,BAK1,positive,TGEN,positive,direct,1,regulates,"The active form tBID (generated by caspase-8 cleavage of BID) directly engages BAK, promoting the conformational changes and oligomerization that lead to mitochondrial outer-membrane permeabilization (MOMP)."
BIM,BAK1,positive,TGEN,positive,direct,1,regulates,"BIM's BH3 domain can directly engage BAK, causing the conformational changes that lead to BAK oligomerization and mitochondrial outer-membrane permeabilization."
MCL1,BAK1,negative,TGEN,negative,direct,1,regulates,"MCL1 binds activated BAK1 through its BH3-binding groove, sequestering BAK1 and preventing the oligomerization required for mitochondrial outer-membrane permeabilization."
p53,BAK1,positive,TGEN,positive,direct,1,regulates,p53 binds a p53-response element in the BAK1 promoter and increases BAK1 transcription.
BID,BAX,positive,TGEN,positive,direct,1,regulates,"The active form tBID directly binds BAX and induces the conformational changes that activate BAX, leading to its mitochondrial membrane insertion and oligomerization."
BIM,BAX,positive,TGEN,positive,direct,1,regulates,"BIM's BH3 domain physically binds BAX, inducing conformational changes that promote BAX membrane insertion and oligomerization, leading to mitochondrial outer-membrane permeabilization."
MCL1,BAX,negative,TGEN,negative,direct,1,regulates,"MCL1 binds activated BAX through its BH3-binding groove, sequestering BAX and preventing the oligomerization required for mitochondrial outer-membrane permeabilization."
p53,BAX,positive,TGEN,positive,direct,1,regulates,p53 binds a p53-response element in the BAX promoter and increases BAX transcription.
BAD,BCL2,negative,TGEN,negative,direct,1,regulates,"BAD binds BCL-2 through its BH3 domain, occupying the hydrophobic groove of BCL-2. This binding neutralizes BCL-2's anti-apoptotic function."
BIM,BCL2,negative,TGEN,negative,direct,1,regulates,"BIM binds BCL-2 through its BH3 domain, occupying the hydrophobic groove of BCL-2. This binding neutralizes BCL-2's anti-apoptotic function."
CREB1,BCL2,positive,TGEN,positive,direct,1,regulates,regulation of transcription. CREB/CREB1 directly binds a cAMP-response element (CRE) in the BCL2 promoter and stimulates BCL2 transcription.
ERK,BCL2,positive,TGEN,positive,direct,1,regulates,ERK1/2 phosphorylate BCL2 at Ser70. This phosphorylation enhances BCL2's anti-apoptotic function:
BAD,BCLXL,negative,TGEN,negative,direct,1,regulates,"BAD binds BCL-XL through its BH3 domain, occupying the hydrophobic groove of BCL-XL. This binding neutralizes BCL-XL's anti-apoptotic function."
BIM,BCLXL,negative,TGEN,negative,direct,1,regulates,BIM directly binds the hydrophobic BH3-binding groove of BCL-XL (BCL2L1) through BIM's BH3 domain. This binding neutralizes BCL-XL's anti-apoptotic function.
CREB1,BCLXL,positive,TGEN,positive,direct,1,regulates,regulation of transcription. CREB/CREB1 can directly bind a cAMP-response element (CRE) in the BCL2L1 (BCLXL) promoter and stimulates its transcription.
CASP8,BID,positive,TGEN,positive,direct,1,regulates,"Active caspase-8 directly cleaves BID, generating truncated BID (tBID). tBID translocates to mitochondria and activates the mitochondrial apoptosis pathway, including BAX/BAK activation."
BCL2,BIM,negative,TGEN,negative,direct,1,regulates,"BCL2 directly binds the BH3 domain of BIM, sequestering BIM and preventing it from activating BAX/BAK."
BCLXL,BIM,negative,TGEN,negative,direct,1,regulates,"BCL-XL (BCL2L1) directly binds BIM through BIM's BH3 domain, sequestering BIM and preventing it from activating BAX/BAK."
FOXO1,BIM,positive,TGEN,positive,direct,1,regulates,FOXO1 binds conserved forkhead-response elements in the promoter of  BCL2L11 (the gene encoding BIM) and stimulate its transcription.
FOXO3,BIM,positive,TGEN,positive,direct,1,regulates,FOXO3 binds conserved forkhead-response elements in the promoter of  BCL2L11 (the gene encoding BIM) and stimulates its transcription.
CASP9,CASP3,positive,TGEN,positive,direct,1,regulates,"Active caspase-9 directly cleaves procaspase-3 at its activating processing sites, generating active caspase-3"
ERK,CASP8,negative,TGEN,negative,,,,
FADD,CASP8,positive,TGEN,,,,,
NF1,CASP8,positive,TGEN,positive,,,,
SRC,CASP8,negative,TGEN,negative,,,,
AKT,CASP9,negative,TGEN,,,,,
BCLXL,CASP9,negative,TGEN,negative,direct in the network sense,1,regulates,"This edge is mediated by the inhibition of mitochondrial cytochrome-c release and apoptosome formation, neither of which is in the network"
CASP3,CASP9,positive,TGEN,positive,direct in the network sense,1,regulates,"The mechanism includes Caspase-3 cleaving caspase-9 and the inhibition of XIAP, which is not in the network"
CASP8,CASP9,positive,TGEN,positive,indirect,2,,"causal effect mediated by BID, BAX and others"
CYCS,CASP9,positive,TGEN,positive,direct in the network sense,1,regulates,"Cytosolic cytochrome c binds APAF1, causing APAF1 to assemble into the apoptosome. The apoptosome then recruits procaspase-9 through CARD–CARD interactions and activates it by proximity/dimerization.  APAF1 and the apoptosome are not in the network."
ERK,CASP9,negative,TGEN,negative,direct,1,regulates,"ERK1/2 directly binds and phosphorylates caspase-9 at Thr125, inhibiting its activation/activity."
PRKACA,CASP9,negative,TGEN,negative,,,,
CASP3,CDKN2A,positive,TGEN,positive,unsupported,,,This assumed edge is not supported by evidence.
MYC,CDKN2A,negative,TGEN,negative,indirect,2,,"MYC can suppress the p16/RB senescence program in proliferating cells through several mechanisms, and MYC loss can lead to increased p16 expression and senescence."
SRC,CDKN2A,negative,TGEN,negative,,,,
ABL2,CEBPB,positive,TGEN,positive,,,,
CREB1,CEBPB,positive,TGEN,positive,,,,
AKT,CREB1,positive,TGEN,positive,direct,1,regulates,"AKT directly phosphorylates CREB1 Ser133, which increases CREB transcriptional activity"
PTEN,CREB1,negative,TGEN,negative,,,,
DC,CTNNB1,negative,TGEN,negative,,,,
SRC,CTNNB1,positive,TGEN,positive,,,,
WNT1,CTNNB1,positive,TGEN,positive,,,,
YAP1,CTNNB1,positive,TGEN,positive,,,,
CDKN2A,CYCLINDc,negative,TGEN,negative,,1,regulates,CDKN2A (p16INK4A)  binds CDK4 and CDK6 and prevents/antagonizes formation of functional Cyclin D–CDK4/6 complexes.
ESR1,CYCLINDc,positive,TGEN,positive,indirect,2,,Estrogen-activated ERα promotes CCND1 transcription; this allows increased CYCLINDc formation.
GSK3B,CYCLINDc,negative,TGEN,negative,direct,2,,"GSK3B promotes the nuclear export and degradation of CyclinD1, thus less cyclin-CDK complex CYCLINDc can be formed."
MYC,CYCLINDc,positive,TGEN,positive,indirect,2,,"c-MYC activates CDK4 transcription, thus leading to more CYCLINDc formation."
p21,CYCLINDc,negative,TGEN,negative,unsupported,,,This assumed edge is contradicted by evidence that p21 (and p27) can serve as an assembly factor for Cyclin D–CDK4/6 and facilitate nuclear localization.  p21-bound Cyclin D–CDK complexes can retain their kinase activity.
TCF7L2,CYCLINDc,positive,TGEN,positive,indirect,2,,"Causal effect mediated by β-catenin/TCF complexes activating CCND1 transcription, which then yields more CYCLINDc."
TEAD1,CYCLINDc,positive,TGEN,positive,indirect,2,,"causal effect. TEAD-containing YAP/TAZ transcriptional complex binds CCND1 regulatory DNA, leading to increased CCND1 transcription, which then allows more CYCLINDc complex formation."
BAK1,CYCS,positive,TGEN,positive,direct in the network sense,1,regulates,Activated BAK oligomerizes in the mitochondrial outer membrane and helps form pores through which Cytochrome c (CYCS) is released from the mitochondrial intermembrane space into the cytosol.
BAX,CYCS,positive,TGEN,positive,direct in the network sense,1,regulates,Activated BAX oligomerizes in the mitochondrial outer membrane and helps form pores through which Cytochrome c (CYCS) is released from the mitochondrial intermembrane space into the cytosol.
APC,DC,positive,TGEN,positive,,,,
GSK3B,DC,positive,TGEN,positive,,,,
FZD3,DVL1,positive,TGEN,positive,,,,
NF1,DVL1,positive,TGEN,positive,,,,
RB,E2F,negative,TGEN,negative,,,,
EGF,EGFR,positive,TGEN,positive,direct,1,regulates,ligand-receptor binding
HER2,EGFR,positive,TGEN,positive,direct,1,,protein-protein interaction; heterodimerization activates EGFR
HER3,EGFR,positive,TGEN,positive,direct,1,regulates,protein-protein interaction; heterodimerization activates EGFR
MEK,EGFR,negative,TGEN,negative,indirect,2,,causal effect mediated by ERK
EIF4EBP1,EIF4,negative,TGEN,negative,,,,
MEK,ERK,positive,TGEN,positive,direct,1,regulates,MEK1/2 directly binds and phosphorylates ERK1/2
AKT,ESR1,positive,TGEN,positive,direct,1,regulates,"Activated AKT phosphorylates ERα (ESR1 protein) at Ser167, and this phosphorylation increases ERα transcriptional activity."
ES,ESR1,positive,TGEN,positive,direct,1,regulates,ligand-receptor binding
FOXO3,ESR1,positive,TGEN,positive,direct,1,regulates,regulation of transcription. FOXO3a directly binds regulatory sites in the ESR1 (ERα) promoter and increases ESR1 transcription
KMT2D,ESR1,positive,TGEN,positive,,,,
PGR,ESR1,positive,TGEN,positive,,,,
FAS,FADD,positive,TGEN,positive,,,,
TRADD,FADD,positive,TGEN,positive,,,,
AKT,FAS,negative,TGEN,negative,,,,
FASLG,FAS,positive,TGEN,positive,direct,1,regulates,ligand-receptor binding
p53,FAS,positive,TGEN,positive,,,,
FASLG,FASLG,positive,TGEN,positive,unsupported,,,This assumed self-regulation is not supported by evidence
FOXO3,FASLG,positive,TGEN,positive,direct,1,regulates,regulation of transcription. FOXO3 binds forkhead-response elements in the FASLG promoter and activate FASL transcription; constitutively active FOXO3 increases FASL promoter activity.
p53,FASLG,positive,TGEN,positive,,,,
AKT,FOXO1,negative,TGEN,negative,direct,1,regulates,"AKT phosphorylates FOXO1 at several regulatory residues. These promote binding to 14-3-3 proteins and retention in the cytoplasm, which decreases FOXO1 transcriptional activity"
SGK1,FOXO1,negative,TGEN,negative,,,,
AKT,FOXO3,negative,TGEN,negative,direct,1,regulates,"AKT phosphorylates FOXO1 at several regulatory residues. These promote binding to 14-3-3 proteins and retention in the cytoplasm, which decreases FOXO1 transcriptional activity"
CREB1,FZD3,positive,TGEN,positive,,,,
WNT1,FZD3,positive,TGEN,positive,,,,
STAT1,GATA3,negative,TGEN,negative,,,,
EGFR,GRB2,positive,TGEN,positive,,,,
IRS1,GRB2,positive,TGEN,positive,direct,1,regulates,"GRB2 directly binds phosphorylated IRS1 through its SH2 domain, recruiting the GRB2–SOS machinery."
LATS1,GRB2,positive,TGEN,positive,,,,
SRC,GRB2,positive,TGEN,positive,,,,
INSR,GRB7,positive,TGEN,positive,direct,1,regulates,"Activated INSR becomes tyrosine-phosphorylated, the adaptor protein GRB7 bind sit through its SH2 domain, INSR then promotes GRB7 tyrosine phosphorylation."
PRKACA,GRB7,negative,TGEN,negative,,,,
AKT,GSK3B,negative,TGEN,negative,direct,1,regulates,"AKT directly phosphorylates GSK3β at Ser9, which inhibits GSK3β kinase activity."
ERK,GSK3B,negative,TGEN,negative,,,,
EGF,HER2,positive,TGEN,positive,indirect,2,,causal effect mediated by EGFR heterodimerization with HER2
HER3,HER2,positive,TGEN,positive,unsupported,,,The HER2-HER3 heterodimer formation is better represented with a separate HER2HER3c node
HER2,HER3,positive,TGEN,positive,unsupported,,,"The effect of HER2 on HER3 is through HER2-HER3 heterodimer formation, which is represented by the HER2HER3c node."
NRG1,HER3,positive,TGEN,positive,direct,1,regulates,ligand-receptor binding
CASP3,HES1,negative,TGEN,negative,unsupported,,,This edge is not supported by evidence.
NICD,HES1,positive,TGEN,positive,,,,
NICD,HEY1,positive,TGEN,positive,,,,
IGF1,HRAS,positive,TGEN,positive,,,,
NF1,HRAS,negative,TGEN,negative,,,,
PI3K,HRAS,positive,TGEN,positive,,,,
SOS1,HRAS,positive,TGEN,positive,direct,1,,"SOS1 directly binds HRAS and acts as a guanine-nucleotide exchange factor (GEF), promoting release of GDP so that GTP can bind. This converts RAS into its active GTP-bound state."
PDK1_pm,HSP90AA1,negative,TGEN,negative,,,,
ESR1,IGF1R,positive,TGEN,positive,,,,
FOXO3,IGF1R,positive,TGEN,positive,indirect,2,,"There is causal evidence that activated FOXO3 increases IGF1R mRNA and protein expression, and FOXO knockdown decreases IGF1R expression. The exact mechanism is not known."
IGF1,IGF1R,positive,TGEN,positive,,,,
INS,IGF1R,positive,TGEN,positive,direct,1,regulates,Insulin can directly bind IGF1R and weakly activate its intrinsic tyrosine kinase.
SRC,IGF1R,positive,TGEN,positive,,,,
NOS3,IL1B,positive,TGEN,positive,,,,
RELA,IL1B,positive,TGEN,positive,,,,
IL1B,IL6,positive,TGEN,positive,,,,
IL6,IL6,positive,TGEN,positive,,,,
IL6,IL6R,positive,TGEN,positive,direct,1,regulates,ligand-receptor binding
STAT5,IL8,positive,TGEN,positive,,,,
FOXO3,INSR,positive,TGEN,positive,unsupported,,,This edge is not supported by experimental evidence
INS,INSR,positive,TGEN,positive,direct,1,regulates,ligand-receptor binding
IGF1R,IRS1,positive,TGEN,positive,,,,
INSR,IRS1,positive,TGEN,positive,direct,1,regulates,Activated INSR recruits IRS1 and phosphorylates IRS1 on multiple tyrosine residues. Those phosphotyrosines then serve as docking sites for downstream signaling proteins.
S6K,IRS1,negative,TGEN,negative,,,,
mTORC1,EIF4EBP1,negative,TGEN,negative,,,,
ABL1,JAK2,positive,TGEN,positive,,,,
IL6R,JAK2,positive,TGEN,positive,direct,1,regulates,JAK2 is physically associated with the GP130 subunit of the receptor complex; receptor activation directly causes JAK activation.
